"ID","Gene symbol"
"A_21_P0010751","XLOC_l2_000727"
"A_23_P118690","ZNF207"
"A_33_P3252043","P4HB"
"A_33_P3240602","IGFL2"
"A_23_P163161","SDR39U1"
"A_23_P120414","YWHAB"
"A_24_P106624","MEOX2"
"A_33_P3332126","SCLY"
"A_19_P00319311","Q7VLF4"
"A_21_P0001413","XLOC_000545"
"A_33_P3340961","SH3GL3"
"A_23_P104054","C1orf9"
"A_21_P0000673","ZNF847P"
"A_23_P11279","ALG13"
"A_21_P0002608","XLOC_001641"
"A_21_P0000197","HIST1H2AG"
"A_21_P0006461","XLOC_008221"
"A_23_P113393","APLN"
"A_21_P0014260","LOC100507109"
"A_23_P168229","TXNDC5"
"A_21_P0013461","XLOC_l2_014077"
"A_24_P343095","DHFR"
"A_24_P302695","MRPL30"
"A_33_P3344991","TBC1D3"
"ERCC-00154_60",""
"A_24_P79617","KIAA0040"
"A_23_P31798","NAT2"
"A_19_P00319561","JPX"
"A_23_P93623","ATP6V1F"
"A_21_P0007220","SYT12"
"A_21_P0003682","ADAM29"
"A_21_P0001263","XLOC_000055"
"A_21_P0006801","XLOC_008989"
"A_33_P3367301","GJD3"
"A_23_P118435","SUMO2"
"A_24_P117029","LDLR"
"ERCC-00077_121",""
"A_21_P0014840","LOC100507630"
"A_33_P3314421",""
"A_21_P0009454","XLOC_012625"
"A_23_P361940","CD84"
"A_23_P108922","MOB1A"
"A_21_P0013778","XLOC_l2_015578"
"A_23_P107073","RPA1"
"A_23_P138680","IL15RA"
"A_19_P00317872","PVT1"
"A_23_P52058","TARBP1"
"A_21_P0007884","XLOC_010135"
"A_21_P0013133","XLOC_l2_012605"
"A_23_P115036","IPO13"
"A_21_P0008970","XLOC_011789"
"A_23_P64712","TCTN2"
"A_23_P121695","CXCL13"
"ERCC-00168_248",""
"A_33_P3418130","UPRT"
"A_19_P00800006","Q59GX9"
"A_21_P0008531","XLOC_010996"
"A_21_P0001992","XLOC_001947"
"A_23_P410224","C6orf52"
"A_21_P0011031","XLOC_l2_002729"
"A_33_P3415596","LOC400499"
"A_32_P516818","C3orf55"
"A_32_P528967","RTP1"
"A_23_P94819","RPH3AL"
"A_33_P3360555","ZNF444"
"A_21_P0012785","1/2-SBSRNA4"
"ERCC-00117_139",""
"ERCC-00051_60",""
"A_33_P3344690","LOC442421"
"A_33_P3254096","PI15"
"A_24_P366607","SERTM1"
"A_23_P500799","CASP6"
"A_23_P366098","NUP210L"
"A_33_P3404546","OBSCN"
"A_23_P82523","ABCB1"
"A_21_P0000536","ZNRF2"
"A_33_P3281139","ZC3H13"
"A_23_P500130","KANK1"
"A_33_P3548190","LINC00347"
"A_23_P216017","ENTPD4"
"A_32_P440768","ALOX12P2"
"A_33_P3395369","AMD1"
"A_24_P62615","CAP1"
"A_32_P72341","TRIM59"
"A_23_P309701","PTPN2"
"A_21_P0013984","AK4"
"A_33_P3271990","DGAT1"
"A_23_P100203","HSBP1"
"A_21_P0006739","XLOC_008745"
"A_21_P0004477","XLOC_005110"
"A_21_P0002736","XLOC_002612"
"A_23_P375566","STXBP4"
"A_23_P100392","TCEB2"
"A_23_P161446","GDI2"
"A_33_P3233978","FBXO18"
"A_21_P0002073","XLOC_002217"
"A_33_P3239152","RABEP2"
"A_23_P156319","LARP1"
"A_23_P106933","ACSM1"
"A_33_P3385782","ZNF713"
"A_33_P3284888","DLEU7"
"A_33_P3232280","C12orf11"
"A_23_P50646","LOC390940"
"A_33_P3306715","C6orf132"
"A_23_P117734","LYSMD4"
"A_21_P0007496","LOC100507498"
"ERCC-00158_78",""
"ERCC-00039_95",""
"ERCC-00054_84",""
"A_33_P3265394","WDR74"
"A_21_P0003753","XLOC_004023"
"A_24_P658584","SASH1"
"A_33_P3217356","LOC388630"
"A_33_P3383226","GP9"
"A_23_P109877","WDR82"
"A_21_P0006314","XLOC_007835"
"A_23_P209805","NAB1"
"A_23_P406227","MGC23284"
"A_24_P64167","PTGS1"
"A_23_P106617","WFDC1"
"A_23_P25698","SLC10A1"
"A_33_P3379701","TRIM36"
"A_33_P3423631","WHSC1"
"A_21_P0010708","XLOC_l2_000267"
"A_24_P289726","PSMD3"
"A_21_P0003026","XLOC_002796"
"A_23_P123539","PPP2R2A"
"A_21_P0002017","XLOC_001992"
"A_21_P0012228","XLOC_l2_009180"
"A_23_P117546","SOS2"
"A_21_P0008862","XLOC_011545"
"A_33_P3319463","NCOA4"
"A_33_P3304170","PIK3CG"
"A_21_P0006170","XLOC_007438"
"A_21_P0004922","XLOC_005433"
"A_33_P3227551","ZNF331"
"A_21_P0004015","XLOC_004426"
"A_23_P204208","KLRD1"
"A_33_P3227842","EPB41"
"A_21_P0008752","XLOC_011515"
"A_33_P3397865","TNNT1"
"A_21_P0011774","TMEM221"
"A_33_P3680462","LOC339539"
"A_23_P123265","SUMF2"
"A_24_P694760","ERC1"
"A_33_P3288294","FUT10"
"A_23_P115922","EIF4EBP2"
"A_21_P0007191","XLOC_009100"
"A_24_P316601","C9orf47"
"A_23_P323801","BEST3"
"A_23_P388124","ABCD2"
"A_33_P3288110","PKP4"
"A_33_P3256765",""
"A_21_P0003648","XLOC_003679"
"A_33_P3316728",""
"A_33_P3238866","SBDS"
"A_21_P0001258","XLOC_000035"
"A_33_P3313025",""
"A_33_P3330811","C8orf59"
"A_21_P0002999","XLOC_002731"
"A_21_P0009279","XLOC_012317"
"A_21_P0010920","CTSL1P2"
"A_23_P8013","HIST1H2BL"
"ERCC-00150_127",""
"A_21_P0013469","LOC157273"
"A_23_P110569","TRIM36"
"A_21_P0012374","THRAP3"
"A_23_P25503","FNDC3A"
"A_23_P23829","CD34"
"A_33_P3242416",""
"ERCC-00075_180",""
"A_33_P3267003",""
"A_33_P3221688",""
"A_33_P3399778",""
"A_24_P246692",""
"A_21_P0005899","XLOC_007205"
"A_23_P121253","TNFSF10"
"A_23_P144394","CSN2"
"A_33_P3254246","OR7C1"
"A_23_P149678","PIAS3"
"A_21_P0012022","XLOC_l2_007543"
"A_24_P331675","C6orf10"
"A_33_P3408949","LOXHD1"
"A_24_P458252",""
"A_21_P0012676","GK3P"
"A_21_P0002833","XLOC_003016"
"A_33_P3311863","AP2A2"
"A_33_P3275600","PLA2G4E"
"A_23_P402610","PFAS"
"A_23_P105651","PDZRN4"
"A_23_P205830","BTBD1"
"A_33_P3324680",""
"A_21_P0000440","SNORD115-4"
"A_23_P83838","CA8"
"A_21_P0001526","XLOC_000893"
"A_21_P0013813","XLOC_l2_015716"
"A_33_P3388636","FLJ40606"
"A_21_P0003243","XLOC_002730"
"ERCC-00137_95",""
"ERCC-00002_129",""
"A_21_P0006525","XLOC_008111"
"A_33_P3305203","LOC283588"
"A_21_P0012141","XLOC_l2_008841"
"A_24_P91916","NXT2"
"A_33_P3360412","PIGQ"
"A_19_P00810474","LOC100652741"
"A_23_P26928",""
"A_23_P23296","PKP1"
"A_21_P0006918","XLOC_008625"
"A_23_P118894","PRR15L"
"A_33_P3309999","DCAF12L2"
"A_23_P160787","PEX14"
"A_24_P280803","RPS21"
"A_23_P111929","OTUD6B"
"A_21_P0005755","XLOC_006905"
"A_33_P3320241",""
"A_33_P3627001","PEBP4"
"A_33_P3420941","LOC439950"
"A_21_P0009475","XLOC_012667"
"A_33_P3399263","IL15RA"
"A_23_P108932","RPL23AP32"
"A_33_P3227899","LOC440896"
"A_33_P3264577","DCTN1"
"A_21_P0005398","XLOC_006166"
"A_33_P3330872","MSL3"
"A_24_P398432","ARAP1"
"A_33_P3352283",""
"A_33_P3311160",""
"A_33_P3297150",""
"A_24_P270460","IFI27"
"A_24_P942250","CHD9"
"A_32_P158786","C12orf56"
"A_21_P0003905","XLOC_004135"
"A_23_P91590","RANBP1"
"A_33_P3309670","KIAA1211"
"A_32_P215318","ACACA"
"(+)E1A_r60_a107",""
"A_33_P3362981","KCTD5"
"A_24_P102053","OCLN"
